kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.1.sm_70.ptx 704 : 40000 283488 0 0 0 0 0 0 0 
test.1.sm_70.ptx 703 : 40000 291168 0 0 0 0 0 0 0 
test.1.sm_70.ptx 690 : 40000 4164928 0 0 0 10000 1250 0 0 
test.1.sm_70.ptx 689 : 40000 725824 0 0 0 0 0 0 0 
test.1.sm_70.ptx 687 : 40000 0 0 0 0 0 0 0 0 
test.1.sm_70.ptx 686 : 40000 541600 0 0 0 0 0 0 0 
test.1.sm_70.ptx 685 : 40000 2387392 0 0 0 10000 1250 0 0 
test.1.sm_70.ptx 684 : 40000 380992 0 0 0 0 0 0 0 
test.1.sm_70.ptx 683 : 40000 369472 0 0 0 0 0 0 0 
test.1.sm_70.ptx 682 : 40000 386400 0 0 0 0 0 0 0 
test.1.sm_70.ptx 681 : 40000 373344 0 0 0 0 0 0 0 
test.1.sm_70.ptx 680 : 40000 8044160 256 0 0 5000 1250 0 0 
test.1.sm_70.ptx 679 : 40000 553856 0 0 0 0 0 0 0 
test.1.sm_70.ptx 678 : 40000 484992 0 0 0 0 0 0 0 
test.1.sm_70.ptx 675 : 40000 0 0 0 0 0 0 0 0 
test.1.sm_70.ptx 674 : 40000 449216 0 0 0 0 0 0 0 
test.1.sm_70.ptx 673 : 40000 568800 0 0 0 0 0 0 0 
test.1.sm_70.ptx 672 : 40000 618848 0 0 0 0 0 0 0 
test.1.sm_70.ptx 671 : 40000 678656 0 0 0 0 0 0 0 
test.1.sm_70.ptx 670 : 40000 610112 0 0 0 0 0 0 0 
test.1.sm_70.ptx 669 : 40000 5559936 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 668 : 40000 4964224 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 667 : 40000 1401696 0 0 0 0 0 0 0 
test.1.sm_70.ptx 666 : 40000 5497888 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 665 : 40000 4936384 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 664 : 40000 1407008 0 0 0 0 0 0 0 
test.1.sm_70.ptx 663 : 40000 4626592 0 0 0 20000 1250 0 0 
test.1.sm_70.ptx 662 : 40000 4095616 0 0 0 2500 1250 0 0 
test.1.sm_70.ptx 661 : 40000 1303264 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1836 : 40448 2272 0 0 0 0 0 0 0 
test.1.sm_70.ptx 343 : 242688 2477248 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1835 : 40448 518048 0 0 0 0 0 0 0 
test.1.sm_70.ptx 342 : 242688 2223744 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1436 : 40448 2336 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1435 : 40448 393024 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1434 : 40448 583392 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1433 : 40448 594752 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1432 : 40448 605536 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1431 : 40448 531648 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1430 : 40448 568992 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1429 : 40448 557888 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1428 : 40448 755968 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1350 : 40448 2368 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1349 : 40448 622016 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1112 : 40448 2432 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1111 : 40448 385856 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1110 : 40448 604576 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1109 : 40448 586496 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2602 : 200000 1284992 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1108 : 40448 592992 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2601 : 200000 1429792 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1107 : 40448 539616 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2600 : 200000 2270944 0 6250 6250 0 0 0 0 
test.1.sm_70.ptx 1106 : 40448 546112 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2599 : 200000 41273536 1280 0 0 25000 6250 0 0 
test.1.sm_70.ptx 1105 : 40448 527520 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2598 : 200000 2261888 0 0 0 0 0 0 0 
test.1.sm_70.ptx 660 : 40000 9186848 544 0 0 20000 1250 0 0 
test.1.sm_70.ptx 659 : 40000 15730368 40000 0 0 2500 1250 0 0 
test.1.sm_70.ptx 656 : 40000 517088 0 0 0 0 0 0 0 
test.1.sm_70.ptx 1104 : 40448 764768 0 0 0 0 0 0 0 
test.1.sm_70.ptx 2597 : 200000 2179136 0 0 0 0 0 0 0 
test.1.sm_70.ptx 655 : 40000 439936 0 0 0 0 0 0 0 
test.1.sm_70.ptx 654 : 40000 419552 0 0 0 0 0 0 0 
test.1.sm_70.ptx 653 : 40000 430592 0 0 0 0 0 0 0 
test.1.sm_70.ptx 652 : 40000 393440 0 0 0 0 0 0 0 
test.1.sm_70.ptx 651 : 40000 387168 0 0 0 0 0 0 0 
test.1.sm_70.ptx 650 : 40000 387360 0 0 0 0 0 0 0 
test.1.sm_70.ptx 649 : 40000 399968 0 0 0 0 0 0 0 
test.1.sm_70.ptx 647 : 40000 0 0 0 0 0 0 0 0 
test.1.sm_70.ptx 646 : 40000 274848 0 0 0 0 0 0 0 
test.1.sm_70.ptx 645 : 40000 395104 0 0 0 0 0 0 0 
test.1.sm_70.ptx 623 : 40000 264960 0 0 0 0 0 0 0 
test.1.sm_70.ptx 622 : 40000 280576 0 0 0 0 0 0 0 
test.1.sm_70.ptx 621 : 40000 278432 0 0 0 0 0 0 0 
test.1.sm_70.ptx 620 : 40000 285792 0 0 0 0 0 0 0 
test.1.sm_70.ptx 701 : 40448 2560 0 0 0 0 0 0 0 
test.1.sm_70.ptx 700 : 40448 299488 0 0 0 0 0 0 0 
